tweet_id,text,dogger_prediction_type,dogger_prediction_confidence,rating_numerator,rating_denominator,retweet_count,favorite_count,jpg_url,timestamp,name,dog_stage
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,"orange is a dog, Brent?",0.0970486,13,10,8853,39467,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,2017-08-01 16:23:56+00:00,Phineas,
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Chihuahua,0.323581,13,10,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,2017-08-01 00:17:27+00:00,Tilly,
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Chihuahua,0.716012,12,10,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,2017-07-31 00:18:03+00:00,Archie,
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Labrador_retriever,0.1680859999999999,13,10,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,2017-07-30 15:58:51+00:00,Darla,
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",basset,0.555712,12,10,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2017-07-29 16:00:24+00:00,Franklin,
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,Chesapeake_Bay_retriever,0.425595,13,10,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,2017-07-29 00:08:17+00:00,,
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Appenzeller,0.341703,13,10,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,2017-07-28 16:27:12+00:00,Jax,
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,Pomeranian,0.566142,13,10,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2017-07-28 00:22:40+00:00,,
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Irish_terrier,0.4875739999999999,13,10,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,2017-07-27 16:25:51+00:00,Zoey,
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Pembroke,0.511319,14,10,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,2017-07-26 15:59:51+00:00,Cassie,doggo
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Samoyed,0.957979,13,10,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,2017-07-26 00:31:25+00:00,Koda,
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,French_bulldog,0.377417,13,10,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,2017-07-25 16:11:53+00:00,Bruno,
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,Pembroke,0.966327,13,10,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,2017-07-25 01:55:32+00:00,,puppo
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,French_bulldog,0.99165,12,10,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,2017-07-25 00:10:02+00:00,Ted,
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,golden_retriever,0.953442,13,10,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,2017-07-24 17:02:04+00:00,Stuart,puppo
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,golden_retriever,0.714719,12,10,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,2017-07-23 00:22:39+00:00,Jim,
